url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,week_date,year
http://www.billboard.com/charts/hot-100/2011-07-23,7/23/2011,12,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne","I'm On OneDJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,15,10,8,2011-07-23,2011
https://www.billboard.com/charts/hot-100/2019-08-17,8/17/2019,13,Money In The Grave,Drake Featuring Rick Ross,Money In The GraveDrake Featuring Rick Ross,1,13,7,8,2019-08-17,2019
https://www.billboard.com/charts/hot-100/2019-02-02,2/2/2019,14,Going Bad,Meek Mill Featuring Drake,Going BadMeek Mill Featuring Drake,1,17,6,8,2019-02-02,2019
http://www.billboard.com/charts/hot-100/2016-08-13,8/13/2016,14,For Free,DJ Khaled Featuring Drake,For FreeDJ Khaled Featuring Drake,1,19,14,8,2016-08-13,2016
http://www.billboard.com/charts/hot-100/2009-11-21,11/21/2009,16,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",1,17,8,8,2009-11-21,2009
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,16,Jumpman,Drake & Future,JumpmanDrake & Future,1,16,12,8,2015-11-28,2015
http://www.billboard.com/charts/hot-100/2011-10-15,10/15/2011,22,Headlines,Drake,HeadlinesDrake,1,23,13,8,2011-10-15,2011
http://www.billboard.com/charts/hot-100/2011-02-19,2/19/2011,22,Moment 4 Life,Nicki Minaj Featuring Drake,Moment 4 LifeNicki Minaj Featuring Drake,1,27,22,8,2011-02-19,2011
https://www.billboard.com/charts/hot-100/2018-07-28,7/28/2018,24,I'm Upset,Drake,I'm UpsetDrake,1,16,7,8,2018-07-28,2018
http://www.billboard.com/charts/hot-100/2013-01-05,1/5/2013,24,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar","F**kin ProblemsA$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",1,32,24,8,2013-01-05,2013
https://www.billboard.com/charts/hot-100/2018-12-15,12/15/2018,25,MIA,Bad Bunny Featuring Drake,MIABad Bunny Featuring Drake,1,19,5,8,2018-12-15,2018
